DBN,School Name,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
01M015,P.S. 015 Roberto Clemente,2010-11,203,13,37,35,33,30,30,25,0,0,0,0,0,0,0,90,44.3%,113,55.7%,13,6.4%,75,36.9%,110,54.2%,1,0.5%,4,2.0%,51,25.1%,30,14.8%,203,100.0%
01M015,P.S. 015 Roberto Clemente,2011-12,189,13,31,35,28,25,28,29,0,0,0,0,0,0,0,92,48.7%,97,51.3%,12,6.3%,63,33.3%,109,57.7%,1,0.5%,4,2.1%,52,27.5%,22,11.6%,189,100.0%
01M015,P.S. 015 Roberto Clemente,2012-13,177,18,38,26,22,26,23,24,0,0,0,0,0,0,0,91,51.4%,86,48.6%,15,8.5%,63,35.6%,93,52.5%,3,1.7%,3,1.7%,55,31.1%,21,11.9%,177,100.0%
01M015,P.S. 015 Roberto Clemente,2013-14,190,26,39,39,21,16,26,23,0,0,0,0,0,0,0,93,48.9%,97,51.1%,9,4.7%,72,37.9%,104,54.7%,2,1.1%,3,1.6%,65,34.2%,19,10.0%,190,100.0%
01M015,P.S. 015 Roberto Clemente,2014-15,183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,84,45.9%,99,54.1%,8,4.4%,65,35.5%,107,58.5%,1,0.5%,2,1.1%,57,31.1%,17,9.3%,183,100.0%
01M019,P.S. 019 Asher Levy,2010-11,328,36,53,53,47,41,49,49,0,0,0,0,0,0,0,173,52.7%,155,47.3%,48,14.6%,89,27.1%,155,47.3%,5,1.5%,31,9.5%,73,22.3%,33,10.1%,328,100.0%
01M019,P.S. 019 Asher Levy,2011-12,328,32,46,52,54,52,46,46,0,0,0,0,0,0,0,181,55.2%,147,44.8%,51,15.5%,81,24.7%,158,48.2%,10,3.0%,28,8.5%,66,20.1%,33,10.1%,328,100.0%
01M019,P.S. 019 Asher Levy,2012-13,302,31,39,46,46,48,50,42,0,0,0,0,0,0,0,154,51.0%,148,49.0%,44,14.6%,69,22.8%,150,49.7%,6,2.0%,33,10.9%,79,26.2%,26,8.6%,228,75.5%
01M019,P.S. 019 Asher Levy,2013-14,285,36,39,38,36,45,47,44,0,0,0,0,0,0,0,141,49.5%,144,50.5%,41,14.4%,56,19.6%,148,51.9%,10,3.5%,30,10.5%,89,31.2%,25,8.8%,213,74.7%
01M019,P.S. 019 Asher Levy,2014-15,270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,132,48.9%,138,51.1%,30,11.1%,47,17.4%,158,58.5%,8,3.0%,27,10.0%,77,28.5%,18,6.7%,197,73.0%
01M020,P.S. 020 Anna Silver,2010-11,625,54,118,98,84,82,100,89,0,0,0,0,0,0,0,292,46.7%,333,53.3%,176,28.2%,51,8.2%,374,59.8%,7,1.1%,17,2.7%,111,17.8%,144,23.0%,625,100.0%
01M020,P.S. 020 Anna Silver,2011-12,626,52,102,121,87,88,85,91,0,0,0,0,0,0,0,296,47.3%,330,52.7%,190,30.4%,55,8.8%,357,57.0%,8,1.3%,16,2.6%,106,16.9%,128,20.4%,626,100.0%
01M020,P.S. 020 Anna Silver,2012-13,620,54,115,107,106,86,77,75,0,0,0,0,0,0,0,282,45.5%,338,54.5%,201,32.4%,51,8.2%,330,53.2%,13,2.1%,25,4.0%,122,19.7%,107,17.3%,620,100.0%
01M020,P.S. 020 Anna Silver,2013-14,631,54,114,111,98,109,71,74,0,0,0,0,0,0,0,305,48.3%,326,51.7%,223,35.3%,54,8.6%,314,49.8%,16,2.5%,24,3.8%,144,22.8%,104,16.5%,631,100.0%
01M020,P.S. 020 Anna Silver,2014-15,633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,301,47.6%,332,52.4%,231,36.5%,53,8.4%,309,48.8%,15,2.4%,25,3.9%,141,22.3%,117,18.5%,633,100.0%
01M034,P.S. 034 Franklin D. Roosevelt,2010-11,393,17,29,38,43,28,37,37,53,57,54,0,0,0,0,194,49.4%,199,50.6%,27,6.9%,81,20.6%,270,68.7%,5,1.3%,10,2.5%,120,30.5%,45,11.5%,392,99.7%
01M034,P.S. 034 Franklin D. Roosevelt,2011-12,401,14,34,38,36,45,28,40,55,55,56,0,0,0,0,197,49.1%,204,50.9%,22,5.5%,90,22.4%,275,68.6%,6,1.5%,8,2.0%,124,30.9%,34,8.5%,400,99.8%
01M034,P.S. 034 Franklin D. Roosevelt,2012-13,413,18,36,34,37,44,50,32,60,48,54,0,0,0,0,202,48.9%,211,51.1%,28,6.8%,102,24.7%,265,64.2%,5,1.2%,13,3.1%,133,32.2%,34,8.2%,394,95.4%
01M034,P.S. 034 Franklin D. Roosevelt,2013-14,393,18,33,32,35,34,45,43,43,57,53,0,0,0,0,196,49.9%,197,50.1%,26,6.6%,108,27.5%,246,62.6%,1,0.3%,12,3.1%,129,32.8%,25,6.4%,373,94.9%
01M034,P.S. 034 Franklin D. Roosevelt,2014-15,395,18,40,32,29,35,32,44,63,43,59,0,0,0,0,199,50.4%,196,49.6%,25,6.3%,110,27.8%,245,62.0%,1,0.3%,14,3.5%,111,28.1%,27,6.8%,381,96.5%
01M063,P.S. 063 William McKinley,2010-11,181,15,32,20,26,26,23,39,0,0,0,0,0,0,0,77,42.5%,104,57.5%,13,7.2%,34,18.8%,113,62.4%,2,1.1%,19,10.5%,53,29.3%,5,2.8%,151,83.4%
