DBNs,Funding
10X225,3001810
14K318,7720906
10X226,2722452
01M110,2559804
05M197,2270648
05M194,2252445
05M195,2946889
10X342,3479707
10X340,3042324
10X228,1960064
10X344,918220
09X303,1747218
75Q993,0
12X214,5403492
13K113,4709484
24Q013,6950677
23K493,2956438
15K230,6424382
11X462,1368822
84M726,0
75Q009,0
11X068,4171926
18K279,3577652
24Q307,3276510
18K276,4649548
11X468,1459883
28Q008,4169212
18K272,3818396
28Q099,3901607
11X019,3289696
28Q310,1912575
03M199,3794625
84M861,0
84K703,0
11X016,3147352
17K353,1120266
06M028,5126374
19K159,4461405
19K158,3584277
21K097,4492621
25Q032,4030069
21K095,5294741
17K354,1750116
84X389,0
11X121,4809682
21K099,3591521
21K098,5494141
27Q323,4073774
75K396,0
24Q087,3690668
15K058,4008152
14K018,1202337
24Q128,3614925
08X182,4837821
16K040,2061971
75K771,0
09X011,4390181
03M075,4449518
15K051,5289289
23K137,2342795
24Q049,4578427
14K380,2886194
27Q202,5371614
75R037,0
05M670,3097115
27Q207,4482217
84K740,0
01M378,1637260
17K181,6058808
04M012,2316473
04M013,2111152
14K250,4043477
28Q167,1491164
28Q160,3911399
28Q161,4030696
14K257,2953839
12X006,3657419
12X212,2081981
11X112,2771709
32K347,3457796
06M153,5252742
01M292,2838073
75X352,0
07X277,3068224
16K035,1371683
25Q219,3694362
11X287,1846092
10X279,5399011
23K041,3889605
08X302,4417267
04M825,2097275
11X289,2258261
19K089,2102306
08X072,5026869
08X071,9620305
05M036,3693134
31R013,3653810
05M030,3628770
08X075,3758435
09X088,1861303
84K517,0
84X482,0
75K077,0
31R019,3449438
12X190,1550744
27Q108,6016065
21K253,3813486
11X160,3778674
04M083,2129497
07X203,2051646
27Q100,5162609
13K527,2250712
27Q105,5498334
27Q104,3417569
02M413,3578373
13K305,1842977
07X018,3140083
13K307,2186536
15K321,6487187
13K301,1353227
30Q234,3413546
13K691,872520
75M079,0
23K518,1688783
07X385,3437922
29Q147,4045360
26Q026,3499330
30Q111,3113621
10X045,5463813
84X185,0
32K086,2851062
10X046,7405498
26Q186,2074345
27Q043,6400144
21K177,4435301
75Q004,0
84X407,0
84X419,0
18K588,2277966
28Q284,2171589
17K138,4992141
26Q162,3306323
29Q181,2345445
26Q205,1544782
14K582,1906425
26Q203,3635566
02M183,3271063
19K108,4628577
14K586,3369282
18K233,3346652
13K011,3052064
02M040,2972169
01M539,6803558
15K821,2662764
02M347,0
22K278,5174065
