DBN,Grade,Year,Number_Tested,Mean_Scale_Score,Num_Level1,Pct_Level1,Num_Level2,Pct_Level2,Num_Level3,Pct_Level3,Num_Level4,Pct_Level4,Num_Level3_and4,Pct_Level3_and4,School_Type,School_Name_x,Borough,Program_Type,Average_Class_Size,School_Name_y,Female_Percentage,Male_Percentage,Asian_Percentage,Black_Percentage,Hispanic_Percentage,Other_Percentage,White_Percentage,Avg_Major_N,Avg_No_Crim_N,Avg_Vio_N,School_Name,Eng_p_11,Aca_p_11,Eng_t_11,Aca_t_11,Eng_s_11,Aca_s_11,Funding
01M015,3,2011,28,671,10,35.7,13,46.4,5,17.9,0,0,5,17.9,Public,M,P.S. 015 Roberto Clemente,GEN ED,12.0,P.S. 015 Roberto Clemente,0.44299999999999995,0.557,0.064,0.369,0.542,0.005,0.02,0.43,1.23,0.41,P.S. 015 Roberto Clemente,7.5,7.8,7.6,7.9,,7.7456046748,1560936
01M015,4,2011,28,668,3,10.7,14,50,9,32.1,2,7.1,11,39.3,Public,M,P.S. 015 Roberto Clemente,GEN ED,13.0,P.S. 015 Roberto Clemente,0.44299999999999995,0.557,0.064,0.369,0.542,0.005,0.02,0.43,1.23,0.41,P.S. 015 Roberto Clemente,7.5,7.8,7.6,7.9,,7.7456046748,1560936
01M015,5,2011,25,667,5,20,8,32,12,48,0,0,12,48,Public,M,P.S. 015 Roberto Clemente,GEN ED,27.0,P.S. 015 Roberto Clemente,0.44299999999999995,0.557,0.064,0.369,0.542,0.005,0.02,0.43,1.23,0.41,P.S. 015 Roberto Clemente,7.5,7.8,7.6,7.9,,7.7456046748,1560936
01M019,3,2011,34,679,2,5.9,23,67.6,7,20.6,2,5.9,9,26.5,Public,M,P.S. 019 Asher Levy,GEN ED,17.5,P.S. 019 Asher Levy,0.527,0.473,0.146,0.271,0.473,0.015,0.095,,2.44092982963,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,7.7456046748,1801509
01M019,4,2011,39,681,2,5.1,11,28.2,22,56.4,4,10.3,26,66.7,Public,M,P.S. 019 Asher Levy,GEN ED,22.0,P.S. 019 Asher Levy,0.527,0.473,0.146,0.271,0.473,0.015,0.095,,2.44092982963,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,7.7456046748,1801509
01M019,4,2011,39,681,2,5.1,11,28.2,22,56.4,4,10.3,26,66.7,Public,M,P.S. 019 Asher Levy,GEN ED,24.0,P.S. 019 Asher Levy,0.527,0.473,0.146,0.271,0.473,0.015,0.095,,2.44092982963,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,7.7456046748,1801509
01M019,5,2011,39,688,0,0,12,30.8,19,48.7,8,20.5,27,69.2,Public,M,P.S. 019 Asher Levy,GEN ED,21.0,P.S. 019 Asher Levy,0.527,0.473,0.146,0.271,0.473,0.015,0.095,,2.44092982963,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,7.7456046748,1801509
01M020,3,2011,81,682,7,8.6,29,35.8,39,48.1,6,7.4,45,55.6,Public,M,P.S. 020 Anna Silver,GEN ED,19.0,P.S. 020 Anna Silver,0.467,0.5329999999999999,0.282,0.08199999999999999,0.598,0.011000000000000001,0.027000000000000003,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,7.7456046748,3216429
01M020,4,2011,95,679,7,7.4,36,37.9,36,37.9,16,16.8,52,54.7,Public,M,P.S. 020 Anna Silver,GEN ED,23.3,P.S. 020 Anna Silver,0.467,0.5329999999999999,0.282,0.08199999999999999,0.598,0.011000000000000001,0.027000000000000003,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,7.7456046748,3216429
01M020,5,2011,82,687,5,6.1,22,26.8,34,41.5,21,25.6,55,67.1,Public,M,P.S. 020 Anna Silver,GEN ED,28.5,P.S. 020 Anna Silver,0.467,0.5329999999999999,0.282,0.08199999999999999,0.598,0.011000000000000001,0.027000000000000003,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,7.7456046748,3216429
01M020,5,2011,82,687,5,6.1,22,26.8,34,41.5,21,25.6,55,67.1,Public,M,P.S. 020 Anna Silver,GEN ED,11.3,P.S. 020 Anna Silver,0.467,0.5329999999999999,0.282,0.08199999999999999,0.598,0.011000000000000001,0.027000000000000003,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,7.7456046748,3216429
01M034,3,2011,27,708,0,0,0,0,17,63,10,37,27,100,Public,M,P.S. 034 Franklin D. Roosevelt,GEN ED,14.0,P.S. 034 Franklin D. Roosevelt,0.494,0.506,0.069,0.20600000000000002,0.687,0.013000000000000001,0.025,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790
01M034,4,2011,35,685,0,0,14,40,14,40,7,20,21,60,Public,M,P.S. 034 Franklin D. Roosevelt,GEN ED,19.0,P.S. 034 Franklin D. Roosevelt,0.494,0.506,0.069,0.20600000000000002,0.687,0.013000000000000001,0.025,0.35,1.09,0.5,P.S. 034 Franklin D. Roosevelt,8.0,8.5,6.8,7.8,6.5,7.4,3065790
